lead_id,created_date,branch,channel,country_interested,service_type,counselor,budget_range,follow_up_count,status,last_update_date,cycle_days
LD00033,2026-06-15,Uttara,Google Ads,UK,IELTS Preparation,Rafi,5-10 Lakh,5,Lost,2026-07-17,32
LD00034,2025-12-27,Chattogram,Seminar/Event,Australia,Study Abroad Consultation,Nusrat,5-10 Lakh,2,Enrolled,2026-04-28,122
LD00035,2025-11-22,Kalabagan,Google Ads,USA,Study Abroad Consultation,Tanvir,10-20 Lakh,2,New,2025-12-02,10
LD00036,2025-07-30,Kalabagan,Walk-in,USA,Study Abroad Consultation,Arafat,<5 Lakh,2,Enrolled,2025-11-08,101
LD00037,2025-04-26,Sylhet,Facebook Ads,Canada,Study Abroad Consultation,Priya,<5 Lakh,3,Lost,2025-05-11,15
LD00038,2026-06-07,Uttara,Referral,Canada,Study Abroad Consultation,Nusrat,10-20 Lakh,4,Application Submitted,2026-07-24,47
LD00039,2025-11-03,Chattogram,Referral,Germany,IELTS Preparation,Priya,10-20 Lakh,3,Consultation Done,2025-11-15,12
LD00040,2025-12-30,Kalabagan,Seminar/Event,Canada,Study Abroad Consultation,Rafi,<5 Lakh,5,Consultation Done,2026-01-10,11
LD00041,2025-09-23,Kalabagan,Walk-in,Canada,IELTS Preparation,Arafat,10-20 Lakh,6,Enrolled,2025-12-15,83
LD00042,2026-03-24,Sylhet,Google Ads,USA,Study Abroad Consultation,Nusrat,10-20 Lakh,2,Lost,2026-04-26,33
LD00043,2026-03-16,Chattogram,Website Form,USA,Visa Processing,Shuvo,,3,Lost,2026-04-01,16
LD00044,2026-01-26,Dhanmondi,Facebook Ads,Germany,Study Abroad Consultation,Priya,5-10 Lakh,4,Enrolled,2026-06-05,130
LD00045,2025-11-04,Kalabagan,Google Ads,UK,IELTS Preparation,arafat,20+ Lakh,5,Lost,2025-11-09,5
LD00046,2025-02-08,Dhanmondi,Google Ads,Canada,Language Course,Arafat,5-10 Lakh,3,Contacted,2025-02-23,15
LD00047,2025-01-15,Kalabagan,Google Ads,UK,Visa Processing,Tanvir,5-10 Lakh,6,Consultation Done,2025-01-20,5
LD00048,2026-03-30,Dhanmondi,Seminar/Event,Australia,Study Abroad Consultation,Rafi,20+ Lakh,1,Visa Approved,2026-04-18,19
LD00049,2025-01-28,Kalabagan,Google Ads,UK,IELTS Preparation,rafi,<5 Lakh,2,Enrolled,2025-03-23,54
LD00050,2025-03-06,Uttara,Google Ads,Canada,IELTS Preparation,Mim,5-10 Lakh,2,New,2025-03-22,16
LD00051,2025-10-12,Dhanmondi,Facebook Ads,UK,Study Abroad Consultation,Mim,20+ Lakh,0,Lost,2025-11-30,49
LD00052,2025-01-19,Dhanmondi,Referral,Germany,Study Abroad Consultation,Nusrat,10-20 Lakh,3,Contacted,2025-02-05,17
LD00053,2026-02-27,Kalabagan,Website Form,Australia,Study Abroad Consultation,Priya,,1,Enrolled,2026-06-21,114
LD00054,2025-07-19,Dhanmondi ,Walk-in,Canada,Visa Processing,nusrat,<5 Lakh,2,Lost,2025-08-24,36
LD00055,2025-11-15,Dhanmondi,Facebook Ads,Germany,Visa Processing,arafat,5-10 Lakh,2,New,2025-11-21,6
LD00056,2026-01-18,Kalabagan,Website Form,UK,IELTS Preparation,Nusrat,5-10 Lakh,6,Enrolled,2026-04-17,89
LD00057,2026-06-26,Chattogram,Google Ads,USA,Study Abroad Consultation,Rafi,20+ Lakh,1,Consultation Done,2026-06-30,4
LD00058,2025-05-03,Uttara,Referral,USA,IELTS Preparation,mim,5-10 Lakh,4,Enrolled,2025-08-31,120
LD00059,2026-07-24,Dhanmondi,Website Form,Canada,Study Abroad Consultation,Tanvir,10-20 Lakh,5,Lost,2026-07-31,22
LD00060,2025-08-16,Kalabagan,Seminar/Event,UK,Study Abroad Consultation,Mim,20+ Lakh,2,Lost,2025-09-30,45
LD00061,2025-01-05,Sylhet,Walk-in,Canada,Study Abroad Consultation,Mim,5-10 Lakh,7,Enrolled,2025-05-27,142
LD00062,2025-06-25,Dhanmondi,Referral,UK,Study Abroad Consultation,Mim,10-20 Lakh,3,Consultation Done,2025-06-28,3
LD00063,2025-08-24,Chattogram,Facebook Ads,UK,Visa Processing,Rafi,<5 Lakh,2,Consultation Done,2025-09-04,11
LD00064,2026-05-19,Kalabagan,Facebook Ads,Malaysia,Visa Processing,Rafi,5-10 Lakh,4,Consultation Done,2026-06-03,15
LD00065,2025-08-03,Kalabagan,Facebook Ads,UK,Study Abroad Consultation,Mim,20+ Lakh,3,New,2025-08-19,16
LD00066,2026-07-24,Kalabagan,Seminar/Event,Canada,Study Abroad Consultation,Arafat,,5,Lost,2026-07-31,21
LD00067,2026-05-21,Uttara,Facebook Ads,UK,IELTS Preparation,Rafi,5-10 Lakh,5,Lost,2026-06-27,37
LD00068,2026-07-02,Chattogram,Facebook Ads,Canada,Visa Processing,Priya,20+ Lakh,4,Contacted,2026-07-16,14
LD00069,2026-02-22,Uttara,Walk-in,Canada,Study Abroad Consultation,arafat,5-10 Lakh,1,Lost,2026-03-02,8
LD00070,2026-01-13,Kalabagan,Website Form,Germany,Study Abroad Consultation,Arafat,<5 Lakh,1,Lost,2026-02-22,40
LD00071,2026-07-08,Dhanmondi,Seminar/Event,Australia,Study Abroad Consultation,Mim,10-20 Lakh,4,Lost,2026-07-31,42
LD00072,2026-05-20,Chattogram,Google Ads,Australia,Study Abroad Consultation,Mim,5-10 Lakh,8,Lost,2026-06-27,38
LD00073,2025-06-25,Dhanmondi,Google Ads,UK,Visa Processing,Nusrat,10-20 Lakh,1,Lost,2025-07-22,27
LD00074,2026-04-05,Kalabagan,Google Ads,Malaysia,Study Abroad Consultation,Arafat,5-10 Lakh,3,Consultation Done,2026-04-08,3
LD00075,2025-09-18,Chattogram,Facebook Ads,Canada,IELTS Preparation,Rafi,5-10 Lakh,5,Consultation Done,2025-09-24,6
LD00076,2025-07-03,Dhanmondi,Google Ads,USA,Visa Processing,Arafat,5-10 Lakh,5,New,2025-07-19,16
LD00077,2025-10-21,Kalabagan,Google Ads,USA,Study Abroad Consultation,Rafi,10-20 Lakh,2,Consultation Done,2025-11-01,11
LD00078,2025-11-07,Dhanmondi,Facebook Ads,USA,Study Abroad Consultation,Mim,5-10 Lakh,2,New,2025-11-22,15
LD00079,2025-01-26,Uttara,Seminar/Event,UK,IELTS Preparation,Priya,5-10 Lakh,5,Lost,2025-03-23,56
LD00080,2025-06-16,Chattogram,Walk-in,UK,Study Abroad Consultation,Arafat,5-10 Lakh,4,Lost,2025-07-22,36
LD00081,2025-09-17,Dhanmondi,Facebook Ads,UK,Study Abroad Consultation,Mim,20+ Lakh,3,Lost,2025-11-06,50
LD00082,2026-06-23,Kalabagan,Walk-in,UK,Study Abroad Consultation,Tanvir,5-10 Lakh,1,Contacted,2026-06-27,4
LD00083,2025-07-17,Dhanmondi,Facebook Ads,Germany,Language Course,Nusrat,<5 Lakh,1,New,2025-07-20,3
LD00084,2026-05-06,Sylhet,Facebook Ads,Canada,Study Abroad Consultation,Mim,5-10 Lakh,4,Contacted,2026-05-24,18
LD00085,2026-01-13,Kalabagan,Facebook Ads,Germany,IELTS Preparation,Tanvir,5-10 Lakh,5,Lost,2026-01-29,16
LD00086,2025-09-17,Dhanmondi,Google Ads,Canada,Study Abroad Consultation,Mim,<5 Lakh,3,New,2025-09-18,1
LD00087,2025-03-02,Kalabagan,Seminar/Event,Canada,Language Course,shuvo,5-10 Lakh,0,Enrolled,2025-07-21,141
LD00088,2026-01-27,Chattogram,Referral,Canada,Study Abroad Consultation,Mim,5-10 Lakh,4,Lost,2026-03-15,47
LD00089,2025-02-14,Chattogram,Facebook Ads,Australia,Visa Processing,Arafat,5-10 Lakh,2,Consultation Done,2025-02-28,14
LD00090,2025-12-16,Kalabagan,Website Form,Germany,Study Abroad Consultation,Shuvo,10-20 Lakh,0,Lost,2026-01-03,18
LD00091,2025-12-27,Uttara,Referral,UK,Study Abroad Consultation,Shuvo,5-10 Lakh,1,Enrolled,2026-03-18,81
LD00092,2025-07-18,Chattogram,Seminar/Event,UK,IELTS Preparation,Arafat,10-20 Lakh,2,Lost,2025-09-08,52
LD00093,2025-04-28,Kalabagan,Seminar/Event,UK,Language Course,Shuvo,10-20 Lakh,1,New,2025-05-12,14
LD00094,2025-11-05,Uttara,Facebook Ads,Malaysia,Study Abroad Consultation,Priya,5-10 Lakh,4,Consultation Done,2025-11-08,3
LD00095,2025-06-22,Uttara,Website Form,Malaysia,IELTS Preparation,Mim,5-10 Lakh,3,Enrolled,2025-10-12,112
LD00096,2025-02-14,Dhanmondi,Facebook Ads,UK,Study Abroad Consultation,Nusrat,<5 Lakh,4,Visa Approved,2025-07-10,146
LD00097,2025-05-31,Dhanmondi,Facebook Ads,Germany,IELTS Preparation,Mim,10-20 Lakh,2,Lost,2025-06-25,25
LD00098,2025-09-10,Uttara,Facebook Ads,Canada,IELTS Preparation,Nusrat,5-10 Lakh,2,New,2025-09-23,13
LD00099,2025-01-19,Uttara,Seminar/Event,Canada,Study Abroad Consultation,Mim,5-10 Lakh,1,Application Submitted,2025-04-26,97
LD00100,2025-01-30,Uttara,Facebook Ads,Germany,IELTS Preparation,Priya,5-10 Lakh,7,Lost,2025-03-18,47
LD00101,2025-10-10,Kalabagan,Walk-in,UK,Study Abroad Consultation,Mim,10-20 Lakh,3,New,2025-10-15,5
LD00102,2025-04-24,Chattogram,Walk-in,UK,Study Abroad Consultation,Priya,<5 Lakh,2,Lost,2025-05-23,29
LD00103,2025-05-19,Dhanmondi,Website Form,Canada,Visa Processing,Priya,<5 Lakh,2,Lost,2025-07-01,43
LD00104,2025-05-19,Kalabagan,Google Ads,Canada,Study Abroad Consultation,Arafat,,9,Enrolled,2025-07-04,46
LD00105,2025-10-11,Dhanmondi,Referral,Germany,Study Abroad Consultation,Tanvir,<5 Lakh,7,Lost,2025-11-18,38
LD00106,2026-06-25,Kalabagan,Facebook Ads,UK,Language Course,Priya,10-20 Lakh,2,New,2026-07-03,8
LD00107,2026-07-30,Kalabagan,Facebook Ads,Malaysia,Study Abroad Consultation,Priya,5-10 Lakh,4,New,2026-07-31,13
LD00108,2025-01-03,Kalabagan,Referral,Germany,Study Abroad Consultation,Rafi,10-20 Lakh,2,Application Submitted,2025-03-12,68
LD00109,2025-03-19,Uttara,Google Ads,Malaysia,Study Abroad Consultation,Arafat,10-20 Lakh,2,Visa Approved,2025-05-27,69
LD00110,2025-09-25,Chattogram,Facebook Ads,UK,Study Abroad Consultation,Nusrat,20+ Lakh,3,Enrolled,2025-10-28,33
LD00111,2025-04-03,Sylhet,Website Form,Germany,Study Abroad Consultation,Nusrat,<5 Lakh,4,Consultation Done,2025-04-05,2
LD00112,2026-02-24,Dhanmondi,Website Form,USA,Study Abroad Consultation,Tanvir,<5 Lakh,4,New,2026-02-26,2
LD00113,2026-04-04,Chattogram,Seminar/Event,USA,Visa Processing,Nusrat,20+ Lakh,4,Lost,2026-05-11,37
LD00114,2026-05-20,Sylhet,Website Form,Canada,IELTS Preparation,Nusrat,10-20 Lakh,2,Consultation Done,2026-05-26,6
LD00115,2025-09-18,Chattogram,Facebook Ads,Canada,Language Course,tanvir,<5 Lakh,5,Consultation Done,2025-10-03,15
LD00116,2025-05-22,Dhanmondi,Walk-in,USA,Study Abroad Consultation,Rafi,5-10 Lakh,4,Lost,2025-06-20,29
LD00117,2026-01-26,Kalabagan,Facebook Ads,UK,Study Abroad Consultation,Arafat,<5 Lakh,2,Consultation Done,2026-02-09,14
LD00118,2025-12-01,Dhanmondi,Referral,USA,Study Abroad Consultation,Shuvo,5-10 Lakh,2,Enrolled,2026-01-31,61
LD00119,2026-07-03,Chattogram,Facebook Ads,USA,Study Abroad Consultation,Shuvo,<5 Lakh,4,Contacted,2026-07-11,8
LD00120,2025-12-18,Dhanmondi,Walk-in,UK,Study Abroad Consultation,Rafi,<5 Lakh,3,Contacted,2025-12-26,8
LD00121,2025-02-17,Sylhet,Referral,Australia,IELTS Preparation,Shuvo,10-20 Lakh,1,Consultation Done,2025-02-23,6
LD00122,2025-10-12,Kalabagan,Facebook Ads,UK,Study Abroad Consultation,Shuvo,10-20 Lakh,1,New,2025-10-20,8
LD00123,2025-04-23,Dhanmondi,Google Ads,USA,Study Abroad Consultation,Tanvir,20+ Lakh,5,Lost,2025-06-03,41
LD00124,2025-06-01,Uttara,Walk-in,Germany,Language Course,Tanvir,5-10 Lakh,7,Application Submitted,2025-07-13,42
LD00125,2025-08-26,Dhanmondi,Google Ads,Canada,Study Abroad Consultation,Tanvir,<5 Lakh,4,Enrolled,2026-01-19,146
LD00126,2025-07-02,Kalabagan,Facebook Ads,Australia,Study Abroad Consultation,Rafi,,3,Consultation Done,2025-07-18,16
LD00127,2025-07-14,Kalabagan ,Facebook Ads,Australia,IELTS Preparation,Mim,5-10 Lakh,4,Lost,2025-08-27,44
LD00128,2025-01-27,Uttara,Walk-in,Australia,IELTS Preparation,Mim,10-20 Lakh,1,Lost,2025-03-16,48
LD00129,2025-11-28,Uttara,Facebook Ads,Germany,Language Course,Mim,<5 Lakh,1,Consultation Done,2025-12-08,10
LD00130,2025-01-07,Sylhet,Referral,UK,Visa Processing,Rafi,10-20 Lakh,2,Lost,2025-02-13,37
LD00131,2025-10-29,Uttara,Google Ads,Malaysia,IELTS Preparation,Mim,5-10 Lakh,1,Lost,2025-12-03,35
LD00132,2026-06-27,Uttara,Website Form,UK,IELTS Preparation,Mim,5-10 Lakh,3,Contacted,2026-07-15,18
LD00133,2025-03-22,Kalabagan,Website Form,Australia,Visa Processing,Nusrat,5-10 Lakh,4,Visa Approved,2025-05-01,40
LD00134,2026-02-01,Uttara,Google Ads,Australia,Study Abroad Consultation,Tanvir,10-20 Lakh,2,Enrolled,2026-02-20,19
LD00135,2026-03-17,Uttara,Referral,Australia,Study Abroad Consultation,Priya,,2,Lost,2026-05-06,50
LD00136,2026-06-27,Kalabagan,Website Form,Australia,Language Course,arafat,<5 Lakh,2,Lost,2026-07-31,58
LD00137,2025-03-01,Kalabagan,Google Ads,Malaysia,Study Abroad Consultation,Priya,<5 Lakh,1,Lost,2025-04-17,47
LD00138,2025-10-18,Uttara,Seminar/Event,UK,Study Abroad Consultation,Priya,5-10 Lakh,3,New,2025-11-04,17
LD00139,2025-11-21,Dhanmondi,Facebook Ads,Australia,Study Abroad Consultation,Nusrat,5-10 Lakh,3,Contacted,2025-11-26,5
LD00140,2025-05-04,Uttara ,Facebook Ads,UK,IELTS Preparation,Tanvir,10-20 Lakh,6,Contacted,2025-05-06,2
LD00141,2025-02-12,Kalabagan,Facebook Ads,UK,Study Abroad Consultation,Arafat,5-10 Lakh,0,Lost,2025-03-01,17
LD00142,2025-04-22,Kalabagan,Facebook Ads,UK,Study Abroad Consultation,Tanvir,20+ Lakh,5,Consultation Done,2025-05-07,15
LD00143,2026-03-17,Sylhet,Facebook Ads,Malaysia,IELTS Preparation,Tanvir,<5 Lakh,1,Consultation Done,2026-04-02,16
LD00144,2025-12-13,Uttara,Facebook Ads,Canada,Study Abroad Consultation,Arafat,5-10 Lakh,4,Contacted,2025-12-20,7
LD00145,2026-03-18,Dhanmondi,Google Ads,Germany,Study Abroad Consultation,Tanvir,20+ Lakh,4,Consultation Done,2026-03-24,6
LD00146,2025-12-03,Dhanmondi,Walk-in,UK,IELTS Preparation,Nusrat,<5 Lakh,3,Consultation Done,2025-12-19,16
LD00147,2025-07-12,Uttara,Facebook Ads,UK,Language Course,Priya,5-10 Lakh,3,Consultation Done,2025-07-25,13
LD00148,2026-06-30,Uttara,Facebook Ads,Germany,Study Abroad Consultation,Mim,<5 Lakh,0,Contacted,2026-07-14,14
LD00149,2026-05-27,Chattogram,Facebook Ads,Canada,Study Abroad Consultation,Priya,5-10 Lakh,1,Lost,2026-06-29,33
LD00150,2025-05-27,Dhanmondi,Google Ads,Canada,Study Abroad Consultation,Arafat,5-10 Lakh,5,Lost,2025-07-12,46
LD00151,2025-01-11,Dhanmondi,Facebook Ads,USA,Study Abroad Consultation,Rafi,10-20 Lakh,6,New,2025-01-14,3
LD00152,2026-05-11,Kalabagan,Walk-in,UK,Study Abroad Consultation,Mim,10-20 Lakh,3,Lost,2026-07-03,53
LD00153,2025-02-11,Kalabagan,Facebook Ads,USA,Language Course,Priya,10-20 Lakh,3,Contacted,2025-02-16,5
LD00154,2025-12-11,Uttara,Facebook Ads,Canada,Study Abroad Consultation,Nusrat,10-20 Lakh,2,Enrolled,2026-01-18,38
LD00155,2025-08-17,Kalabagan,Facebook Ads,Australia,Study Abroad Consultation,Arafat,5-10 Lakh,2,Lost,2025-08-23,6
LD00156,2026-02-02,Kalabagan,Facebook Ads,UK,IELTS Preparation,Arafat,,2,Enrolled,2026-03-27,53
LD00157,2026-02-28,Uttara,Google Ads,USA,Study Abroad Consultation,Nusrat,5-10 Lakh,3,Lost,2026-03-06,6
LD00158,2026-05-26,Uttara,Google Ads,Australia,Study Abroad Consultation,Tanvir,5-10 Lakh,2,Contacted,2026-06-01,6
LD00159,2025-02-26,Kalabagan ,Facebook Ads,UK,IELTS Preparation,Nusrat,20+ Lakh,0,New,2025-03-14,16
LD00160,2025-12-08,Dhanmondi,Seminar/Event,UK,Study Abroad Consultation,Mim,5-10 Lakh,6,Application Submitted,2026-01-08,31
LD00161,2025-10-15,Uttara,Referral,UK,Study Abroad Consultation,Tanvir,5-10 Lakh,2,Enrolled,2026-02-08,116
LD00162,2026-03-17,Kalabagan,Walk-in,Australia,IELTS Preparation,Rafi,10-20 Lakh,5,Lost,2026-05-05,49
LD00163,2025-01-04,Uttara,Referral,Australia,Study Abroad Consultation,Nusrat,5-10 Lakh,7,Lost,2025-02-19,46
LD00164,2025-02-28,Dhanmondi,Facebook Ads,Australia,Study Abroad Consultation,Rafi,10-20 Lakh,4,Contacted,2025-03-14,14
LD00165,2025-08-05,Uttara,Seminar/Event,Australia,Study Abroad Consultation,Nusrat,<5 Lakh,5,Lost,2025-09-28,54
LD00166,2026-07-07,Chattogram,Referral,Australia,Study Abroad Consultation,Priya,5-10 Lakh,0,Lost,2026-07-31,49
LD00167,2026-05-02,Sylhet,Seminar/Event,Australia,IELTS Preparation,Rafi,5-10 Lakh,2,Consultation Done,2026-05-09,7
LD00168,2025-03-25,Kalabagan ,Referral,Canada,IELTS Preparation,Tanvir,<5 Lakh,7,Contacted,2025-04-12,18
LD00169,2026-04-10,Uttara,Google Ads,Canada,Study Abroad Consultation,Mim,5-10 Lakh,3,Lost,2026-05-13,33
LD00170,2025-11-09,Kalabagan,Walk-in,UK,Study Abroad Consultation,Nusrat,<5 Lakh,5,Enrolled,2026-01-25,77
LD00171,2025-08-06,Dhanmondi,Website Form,Germany,Study Abroad Consultation,Rafi,,4,New,2025-08-20,14
LD00172,2025-04-23,Kalabagan,Google Ads,Canada,IELTS Preparation,Shuvo,10-20 Lakh,1,New,2025-05-10,17
LD00173,2025-09-09,Dhanmondi,Google Ads,USA,Study Abroad Consultation,Tanvir,<5 Lakh,3,Consultation Done,2025-09-19,10
LD00174,2025-10-11,Kalabagan,Website Form,Germany,Visa Processing,Tanvir,20+ Lakh,4,Lost,2025-12-02,52
LD00175,2025-12-06,Chattogram,Walk-in,Australia,Study Abroad Consultation,Mim,5-10 Lakh,2,Consultation Done,2025-12-25,19
LD00176,2025-11-28,Dhanmondi,Website Form,Australia,Visa Processing,Rafi,5-10 Lakh,6,Consultation Done,2025-12-17,19
LD00177,2025-04-16,Chattogram,Website Form,UK,IELTS Preparation,Mim,5-10 Lakh,4,Lost,2025-04-24,8
LD00178,2025-09-29,Chattogram,Website Form,UK,IELTS Preparation,Shuvo,10-20 Lakh,2,Lost,2025-10-16,17
LD00179,2025-05-16,Chattogram,Facebook Ads,Germany,Study Abroad Consultation,Arafat,5-10 Lakh,6,New,2025-05-23,7
LD00180,2025-04-09,Kalabagan,Facebook Ads,Germany,Study Abroad Consultation,Tanvir,20+ Lakh,0,Contacted,2025-04-19,10
LD00181,2025-09-04,Dhanmondi,Website Form,UK,Study Abroad Consultation,Nusrat,20+ Lakh,0,Lost,2025-09-16,12
LD00182,2025-11-16,Kalabagan,Referral,USA,IELTS Preparation,Arafat,10-20 Lakh,2,Lost,2025-11-22,6
LD00183,2026-07-25,Kalabagan,Walk-in,Germany,Study Abroad Consultation,Rafi,20+ Lakh,7,Visa Approved,2026-07-31,94
LD00184,2026-06-29,Sylhet,Facebook Ads,USA,Visa Processing,Nusrat,10-20 Lakh,3,Visa Approved,2026-07-20,21
LD00185,2025-07-01,Dhanmondi,Walk-in,Australia,Language Course,Nusrat,5-10 Lakh,2,Consultation Done,2025-07-02,1
LD00186,2025-11-30,Chattogram,Seminar/Event,Canada,Study Abroad Consultation,Mim,<5 Lakh,3,Enrolled,2026-03-05,95
LD00187,2025-08-30,Kalabagan,Referral,Canada,IELTS Preparation,Rafi,5-10 Lakh,3,Consultation Done,2025-09-17,18
LD00188,2026-03-02,Dhanmondi,Facebook Ads,Canada,Study Abroad Consultation,Nusrat,10-20 Lakh,3,Enrolled,2026-07-06,126
LD00189,2026-03-13,Kalabagan,Referral,UK,Study Abroad Consultation,Nusrat,10-20 Lakh,4,Lost,2026-03-30,17
LD00190,2026-06-26,Uttara,Google Ads,Australia,Study Abroad Consultation,Mim,5-10 Lakh,2,New,2026-06-28,2
LD00191,2025-09-07,Kalabagan,Facebook Ads,UK,Study Abroad Consultation,Nusrat,5-10 Lakh,0,Visa Approved,2025-11-03,57
LD00192,2025-11-13,Kalabagan,Seminar/Event,UK,Study Abroad Consultation,Nusrat,20+ Lakh,3,New,2025-11-15,2
LD00193,2025-09-09,Kalabagan,Seminar/Event,Canada,IELTS Preparation,Arafat,20+ Lakh,2,New,2025-09-19,10
LD00194,2025-11-04,Kalabagan,Website Form,UK,IELTS Preparation,Priya,<5 Lakh,2,Contacted,2025-11-23,19
LD00195,2025-10-24,Kalabagan,Referral,Germany,IELTS Preparation,Shuvo,5-10 Lakh,1,Enrolled,2026-02-04,103
LD00196,2025-01-07,Kalabagan ,Facebook Ads,Canada,Study Abroad Consultation,Mim,20+ Lakh,3,Contacted,2025-01-22,15
LD00197,2025-07-07,Sylhet,Website Form,Malaysia,Study Abroad Consultation,Nusrat,5-10 Lakh,2,Lost,2025-07-17,10
LD00198,2025-11-27,Kalabagan,Seminar/Event,Australia,Visa Processing,Nusrat,10-20 Lakh,4,Lost,2026-01-05,39
LD00199,2026-07-09,Kalabagan,Referral,USA,Visa Processing,Mim,5-10 Lakh,4,New,2026-07-21,12
LD00200,2026-04-23,Kalabagan,Website Form,Australia,Study Abroad Consultation,Tanvir,10-20 Lakh,4,Consultation Done,2026-04-24,1
LD00201,2025-08-18,Dhanmondi,Google Ads,Australia,Study Abroad Consultation,Tanvir,<5 Lakh,4,Enrolled,2025-10-22,65
LD00202,2025-05-27,Dhanmondi,Facebook Ads,UK,IELTS Preparation,Arafat,20+ Lakh,7,New,2025-06-03,7
LD00203,2026-05-14,Dhanmondi,Facebook Ads,UK,Study Abroad Consultation,Mim,5-10 Lakh,3,Lost,2026-07-07,54
LD00204,2025-08-24,Kalabagan,Seminar/Event,Germany,IELTS Preparation,Rafi,20+ Lakh,3,Visa Approved,2026-01-03,132
LD00205,2025-11-07,Kalabagan,Google Ads,Australia,Visa Processing,Tanvir,10-20 Lakh,4,Enrolled,2026-01-04,58
